seq_name,ID,taxonomicidentification,similarity
Litopenaeus_setiferus_KT959392,GBCMA8815-14,Penaeus vannamei,0.8942
Litopenaeus_setiferus_KT959392,PMINV452-20,Litopenaeus stylirostris,0.8927
Litopenaeus_stylirostris_EU517503,GBMTG1503-16,Litopenaeus stylirostris,1
Litopenaeus_stylirostris_EU517503,GBMNA12536-19,Penaeus stylirostris,1
Litopenaeus_stylirostris_EU517503,MOBIL10854-20,Penaeus vannamei,0.8954
Litopenaeus_stylirostris_EU517503,GBCMD31266-19,Penaeus subtilis complex sp. morphotype I,0.8944
Litopenaeus_stylirostris_EU517503,GBCMD31192-19,Penaeus isabelae,0.8943
Litopenaeus_stylirostris_EU517503,GBCMD31268-19,Penaeus subtilis complex sp. morphotype II,0.8871
Farfantepenaeus_californiensis_EU497054,GBMTG1634-16,Farfantepenaeus californiensis,1
Farfantepenaeus_californiensis_EU497054,GBCMD31163-19,Penaeus californiensis,0.9946
Farfantepenaeus_californiensis_EU497054,GBCMD31150-19,Penaeus brasiliensis,0.957
Farfantepenaeus_californiensis_EU497054,GBCMA9756-15,Farfantepenaeus brasiliensis,0.9568
Penaeus_semisulcatus_LC155215,GBCM10626-17,Penaeus semisulcatus,1
Litopenaeus_vannamei_KP976242,BGSF060-15,Penaeus vannamei,1
Litopenaeus_vannamei_KP976242,PENAE066-20,Litopenaeus vannamei,0.9984
